row	col	numerator	denominator
164	164	-641815054904823	1356620107684218103948
165	165	19	68
166	166	19	68
167	167	-19	68
168	168	-19	68
169	169	117971083026488163075	18726783966472946706898192
169	254	-2935	1266963168
170	170	-3209075274524115	5426480430736872415792
171	1	33178367615	15057555281184
171	86	94267	6762868
171	171	-95822045481722721345	18726783966472946706898192
171	256	901966729	412212682926
172	172	-3209075274524115	5426480430736872415792
173	173	-1	4
174	174	-1	4
175	5	19	34
175	175	1	4
176	6	19	34
176	176	1	4
177	177	-140288840030435750023919	56180351899418840120694576
178	178	108962095808540850211	16279441292210617247376
179	179	-203922515080037732710801	18726783966472946706898192
180	180	108962095808540850211	16279441292210617247376
181	181	826220969274030988025357	14045087974854710030173644
181	226	-123388	2083821
182	182	-1069691758174705	4069860323052654311844
183	183	-275404528753838688737149	4681695991618236676724548
183	228	-909293716151	17519039024355
184	184	-1069691758174705	4069860323052654311844
185	185	-69536938321055756280201	2340847995809118338362274
186	186	-1822573434953806997	678310053842109051974
187	17	-35886385137	627398136716
187	187	82116340169106932173495	2340847995809118338362274
188	188	-1822573434953806997	678310053842109051974
189	189	196618471710813605125	56180351899418840120694576
189	234	-2935	1266963168
190	190	-5348458790873525	16279441292210617247376
191	21	609836685317	5019185093728
191	66	-22457	6762868
191	191	-53234469712068178525	18726783966472946706898192
191	236	-14603357995	137404227642
192	192	-5348458790873525	16279441292210617247376
193	193	-740425479107849627	66739916372523070560
194	149	7156223	422321056
194	194	-9837911350483501939	440483448058652265696
195	105	7156223	422321056
195	195	-9837911350483501939	440483448058652265696
196	61	57231	9356200
196	106	13188857081	229007046070
196	151	13188857081	229007046070
196	196	122813154315394057081	2202417240293261328480
197	197	-2	49
198	198	-2	49
199	109	15	34
199	199	2	49
200	110	15	34
200	200	2	49
201	201	-2	49
202	157	15	34
202	202	2	49
203	203	-2	49
204	159	15	34
204	204	2	49
209	209	73148401435908589	6256867159924037865
210	210	-1692925800230608004	68825538759164416515
211	121	-123388	2083821
211	211	6485187389030135807	137651077518328833030
212	122	-909293716151	17519039024355
212	212	-4708600620158908757	137651077518328833030
213	213	25162411298283	4449327758168204704
214	129	369483377	11402668512
214	214	404549598737702699	22246638790841023520
215	125	-2935	1266963168
215	215	143565589304997	48942605339850251744
216	41	-93731	9356200
216	126	-14603357995	137404227642
216	131	108257602823	2061063414630
216	216	-4452147346682660239	244713026699251258720
217	217	19	68
218	218	-19	68
219	219	19	68
220	220	-19	68
221	221	-1	4
222	137	19	34
222	222	1	4
223	223	-1	4
224	139	19	34
224	224	1	4
225	225	73148401435908589	6256867159924037865
226	181	-123388	2083821
226	226	6485187389030135807	137651077518328833030
227	227	-1692925800230608004	68825538759164416515
228	183	-909293716151	17519039024355
228	228	-4708600620158908757	137651077518328833030
229	229	19	68
230	230	19	68
231	231	-19	68
232	232	-19	68
233	233	25162411298283	4449327758168204704
234	189	-2935	1266963168
234	234	143565589304997	48942605339850251744
235	65	369483377	11402668512
235	235	404549598737702699	22246638790841023520
236	21	-93731	9356200
236	66	108257602823	2061063414630
236	191	-14603357995	137404227642
236	236	-4452147346682660239	244713026699251258720
237	237	-1	4
238	238	-1	4
239	69	19	34
239	239	1	4
240	70	19	34
240	240	1	4
241	241	205623360983479	58543786291686904
242	242	-3810253797147245749	61178256674812814680
243	243	-3810253797147245749	61178256674812814680
244	244	7405631182066755943	61178256674812814680
245	245	2795823477587	1112331939542051176
246	161	-16412027	316740792
246	246	2159280443719240223	36706954004887688808
247	247	47855196434999	36706954004887688808
248	163	-1151771764931	17519039024355
248	248	-2159420561090435593	36706954004887688808
249	249	2795823477587	1112331939542051176
250	250	47855196434999	36706954004887688808
251	81	-16412027	316740792
251	251	2159280443719240223	36706954004887688808
252	82	-1151771764931	17519039024355
252	252	-2159420561090435593	36706954004887688808
253	253	13979117387935	4449327758168204704
254	169	-2935	1266963168
254	254	239275982174995	146827816019550755232
255	85	-2935	1266963168
255	255	239275982174995	146827816019550755232
256	1	130231	9356200
256	86	901966729	412212682926
256	171	901966729	412212682926
256	256	-939862838151845	146827816019550755232
